ticker,fiscal_end,reason
WDAY,2022-01-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
WDAY,2023-01-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
WDAY,2024-01-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
WDAY,2025-01-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
WDAY,2026-01-31,missing SEC facts even for 5-variable fallback: CostOfRevenue
ZS,2020-07-31,missing SEC facts even for 5-variable fallback: Depreciation
ZS,2021-07-31,missing SEC facts even for 5-variable fallback: Depreciation
ZS,2022-07-31,missing SEC facts even for 5-variable fallback: Depreciation
ZS,2023-07-31,missing SEC facts even for 5-variable fallback: Depreciation
ZS,2024-07-31,missing SEC facts even for 5-variable fallback: Depreciation
ZS,2025-07-31,missing SEC facts even for 5-variable fallback: Depreciation
