ticker,Company_Name,SIC,Industry,Industry_Source
MNST,Monster Beverage Corp,2086,Bottled & Canned Soft Drinks & Carbonated Waters,SEC SIC
NFLX,NETFLIX INC,7841,Services-Video Tape Rental,SEC SIC
NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices,SEC SIC
NXPI,NXP Semiconductors N.V.,3674,Semiconductors & Related Devices,SEC SIC
ODFL,"OLD DOMINION FREIGHT LINE, INC.",4213,Trucking (No Local),SEC SIC
ON,ON SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices,SEC SIC
ORLY,O REILLY AUTOMOTIVE INC,5531,Retail-Auto & Home Supply Stores,SEC SIC
PCAR,PACCAR INC,3711,Motor Vehicles & Passenger Car Bodies,SEC SIC
PANW,Palo Alto Networks Inc,3577,"Computer Peripheral Equipment, NEC",SEC SIC
PAYX,PAYCHEX INC,8700,"Services-Engineering, Accounting, Research, Management",SEC SIC
PYPL,"PayPal Holdings, Inc.",7389,"Services-Business Services, NEC",SEC SIC
PEP,PEPSICO INC,2080,Beverages,SEC SIC
PDD,PDD Holdings Inc.,7389,"Services-Business Services, NEC",SEC SIC
QCOM,QUALCOMM INC/DE,3663,Radio & Tv Broadcasting & Communications Equipment,SEC SIC
REGN,"REGENERON PHARMACEUTICALS, INC.",2834,Pharmaceutical Preparations,SEC SIC
ROST,"ROSS STORES, INC.",5651,Retail-Family Clothing Stores,SEC SIC
SGEN,SGEN,,Unknown,fallback
SIRI,SIRIUS XM HOLDINGS INC.,4832,Radio Broadcasting Stations,SEC SIC
SNPS,SYNOPSYS INC,7372,Services-Prepackaged Software,SEC SIC
SPLK,SPLK,,Cloud Software,fallback
SWKS,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors & Related Devices,SEC SIC
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,7372,Services-Prepackaged Software,SEC SIC
TMUS,"T-Mobile US, Inc.",4812,Radiotelephone Communications,SEC SIC
TSLA,"Tesla, Inc.",3711,Motor Vehicles & Passenger Car Bodies,SEC SIC
TXN,TEXAS INSTRUMENTS INC,3674,Semiconductors & Related Devices,SEC SIC
KHC,Kraft Heinz Co,2030,"Canned, Frozen & Preservd Fruit, Veg & Food Specialties",SEC SIC
TCOM,Trip.com Group Ltd,7389,"Services-Business Services, NEC",SEC SIC
VRSK,"Verisk Analytics, Inc.",7374,Services-Computer Processing & Data Preparation,SEC SIC
VRTX,VERTEX PHARMACEUTICALS INC / MA,2834,Pharmaceutical Preparations,SEC SIC
WBA,WBA,,Retail,fallback
WBD,"Warner Bros. Discovery, Inc.",4841,Cable & Other Pay Television Services,SEC SIC
WDAY,"Workday, Inc.",7374,Services-Computer Processing & Data Preparation,SEC SIC
WMT,Walmart Inc.,5331,Retail-Variety Stores,SEC SIC
ZS,"Zscaler, Inc.",7371,Services-Computer Programming Services,SEC SIC
